id,speaker,name,scene,event,file,line,text,chars,seconds,recorded
v_fine_lighthouse_01,fine,フィーネ（灰色のマントの少女）,lighthouse,lighthouse_3_fine,src/events/prologue_lighthouse.js,82,言葉を失った灯は、言葉で取り戻すの。,18,3,
v_fine_lighthouse_02,fine,フィーネ（灰色のマントの少女）,lighthouse,lighthouse_3_fine,src/events/prologue_lighthouse.js,83,……あなたなら、できるわ。,13,2.6,
v_fine_forest_01,fine,フィーネ（灰色のマントの少女）,forest,elder_tree_2_fine,src/events/region1_forest.js,281,この根の奥に、伝承の核があるわ。……根を食べているものがいる。,31,5.2,
v_fine_snow_01,fine,フィーネ（灰色のマントの少女）,snow,frost_peak_3_fine,src/events/region3_frost_peak.js,79,凍っているのは、竜の体じゃない。心のほうよ。,22,3.8,
v_fine_marsh_01,fine,フィーネ（灰色のマントの少女）,marsh,bell_marsh_1_fine,src/events/region4_dungeons.js,157,霧は形を持たないから、誰の姿にでもなれるの。,22,3.6,
v_fine_isles_01,fine,フィーネ（灰色のマントの少女）,isles,fineFallback,src/events/region5_isles.js,303,待っている人がいる限り、物語は終わらない。,21,3.4,
v_fine_ash_01,fine,フィーネ（灰色のマントの少女）,ash,ash_volcano_3_fine,src/events/region7_volcano.js,108,燃え尽きることと、忘れられることは、違うわ。,22,3.6,
v_fine_t1_01,fine,フィーネ（灰色のマントの少女）,t1,t1,src/events/story.js,66,一つ目……。あと、七つね。,13,2.8,
v_fine_t1_02,fine,フィーネ（灰色のマントの少女）,t1,t1,src/events/story.js,67,わたし？　ただの、通りすがりよ。,16,2.9,
v_fine_t3_01,fine,フィーネ（灰色のマントの少女）,t3,t3,src/events/story.js,107,三つ目。よくやったわ。,11,2.3,
v_fine_t3_02,fine,フィーネ（灰色のマントの少女）,t3,t3,src/events/story.js,108,……わたしはフィーネ。名前くらいは、覚えておいて。,25,4.4,
v_fine_t6_01,fine,フィーネ（灰色のマントの少女）,t6,t6,src/events/story.js,165,六つ目……。,6,1.7,
v_fine_t6_02,fine,フィーネ（灰色のマントの少女）,t6,t6,src/events/story.js,167,あなたの師匠は、もう……。,13,2.6,
v_fine_t8_01,fine,フィーネ（灰色のマントの少女）,t8,t8,src/events/story.js,201,今なら話せるわ。わたしはフィーネ。千年前、始まりの年代記を書いた語り部。,36,5.9,
v_fine_t8_02,fine,フィーネ（灰色のマントの少女）,t8,t8,src/events/story.js,202,世界がまだ白い闇だったころ、わたしは最初の物語を語って、その闇を眠らせた。,37,5.6,
v_fine_t8_03,fine,フィーネ（灰色のマントの少女）,t8,t8,src/events/story.js,203,海の向こうでは、紋章が魔王を封じたという。この大陸では、物語が封印になったの。,39,6.1,
v_fine_t8_04,fine,フィーネ（灰色のマントの少女）,t8,t8,src/events/story.js,204,その闇――虚ろの王が、いま目を覚ましかけている。,24,4.1,
v_fine_t8_05,fine,フィーネ（灰色のマントの少女）,t8,t8,src/events/story.js,205,八枚がそろった今なら、内海の霧を払える。,20,3.3,
v_fine_t8_06,fine,フィーネ（灰色のマントの少女）,t8,t8,src/events/story.js,206,ロアの里へ。すべてが始まった場所へ、帰りましょう。,25,4.2,
v_fine_roa_01,fine,フィーネ（灰色のマントの少女）,roa,story_final_roa,src/events/final_roa.js,70,ベルナさん。あなたの弟子の物語を、聞いてくれる？,24,4.1,
v_fine_roa_02,fine,フィーネ（灰色のマントの少女）,roa,story_final_roa,src/events/final_roa.js,72,……いいの。わたしのことは、いつか思い出してくれれば。,27,4.7,
v_fine_roa_03,fine,フィーネ（灰色のマントの少女）,roa,story_final_roa,src/events/final_roa.js,108,……先に、島で待っているわ。,14,2.7,
v_fine_shades_01,fine,フィーネ（灰色のマントの少女）,shades,archive_4_boss,src/events/final_archive.js,136,三百年前、東の大陸で魔王を討った勇者たちの影……。,25,4.2,
v_fine_shades_02,fine,フィーネ（灰色のマントの少女）,shades,archive_4_boss,src/events/final_archive.js,137,名は忘れられても、物語は残っていたのね。,20,3.3,
v_fine_naming_01,fine,フィーネ（灰色のマントの少女）,naming,naming,src/events/final_archive.js,250,わたしの最後の光を、あなたたちに。,17,2.9,
v_fine_ending_01,fine,フィーネ（灰色のマントの少女）,ending,voidHall,src/systems/ending.js,289,わたしも、物語に還る時間。,13,2.4,
v_fine_ending_02,fine,フィーネ（灰色のマントの少女）,ending,voidHall,src/systems/ending.js,290,……語り継いでね。わたしのことも、あなたの旅のことも。,27,4.7,
v_fine_oblivion_01,fine,フィーネ（灰色のマントの少女）,oblivion,oblivion_5_ouroboros,src/events/oblivion.js,154,ここは、終わらない物語が沈む場所。,17,2.9,
v_fine_oblivion_02,fine,フィーネ（灰色のマントの少女）,oblivion,oblivion_5_ouroboros,src/events/oblivion.js,155,その竜は物語の終わりを食べて、同じ話を永遠にくり返させるの。,30,4.6,
v_rowell_prologue_01,rowell,ロウェル,prologue,lute_rowell,src/events/prologue_lute.js,45,……語り部の見習いか。灯台の伝承なら、きのう記録院が写し取った。,32,5.4,
v_rowell_prologue_02,rowell,ロウェル,prologue,lute_rowell,src/events/prologue_lute.js,46,伝承は記録院が責任をもって保管する。語り部の出る幕じゃない。,30,4.8,
v_rowell_t2_01,rowell,ロウェル,t2,t2,src/events/story.js,77,また会ったな、語り部。,11,2.1,
v_rowell_t2_02,rowell,ロウェル,t2,t2,src/events/story.js,78,伝承を言いふらして回るのは、もうやめろ。記録院が写して保管すれば、それで十分だ。,40,6.2,
v_rowell_t2_03,rowell,ロウェル,t2,t2,src/events/story.js,79,口で言っても分からないなら、力ずくで止める。,22,3.6,
v_rowell_t2_04,rowell,ロウェル,t2,t2,src/events/story.js,83,……くっ。その筆、まぐれではないようだな。,21,3.9,
v_rowell_t2_05,rowell,ロウェル,t2,t2,src/events/story.js,84,覚えておけ。伝承は、人を縛る鎖にもなる。,20,3.5,
v_rowell_t2_06,rowell,ロウェル,t2,t2,src/events/story.js,88,受け取っておけ。借りを作るのは好かない。,20,3.5,
v_rowell_t2_07,rowell,ロウェル,t2,t2,src/events/story.js,90,これが力の差だ。……頭を冷やせ、語り部。,20,3.7,
v_rowell_t4_01,rowell,ロウェル,t4,t4,src/events/story.js,125,……また会ったな。この前の借りは、まだ返していないぞ。,27,4.7,
v_rowell_t4_02,rowell,ロウェル,t4,t4,src/events/story.js,126,……聞いたか。院長は本気だ。,14,2.9,
v_rowell_t4_03,rowell,ロウェル,t4,t4,src/events/story.js,127,院長は、悲しみのない世界を作ろうとしている。おまえには分からないだろうが。,37,5.8,
v_rowell_t5_01,rowell,ロウェル,t5,t5,src/events/story.js,138,今度は、まぐれとは言わせない。,15,2.6,
v_rowell_t5_02,rowell,ロウェル,t5,t5,src/events/story.js,139,なぜだ……。おまえが語り直した伝承は、また人の口にのぼる。,29,5,
v_rowell_t5_03,rowell,ロウェル,t5,t5,src/events/story.js,140,それが争いの種になると、なぜ分からない！,20,3.3,
v_rowell_t5_04,rowell,ロウェル,t5,t5,src/events/story.js,144,……おれは……本当に、正しいのか……。,19,3.9,
v_rowell_t5_05,rowell,ロウェル,t5,t5,src/events/story.js,149,……勝ったのに、どうしてだ。少しも、すっきりしない。,26,4.6,
v_rowell_t7_01,rowell,ロウェル,t7,t7,src/events/story.js,180,……待ってくれ。話がある。,13,2.8,
v_rowell_t7_02,rowell,ロウェル,t7,t7,src/events/story.js,181,おまえに負けてから、ずっと考えていた。……答えが出た。,27,4.7,
v_rowell_t7_03,rowell,ロウェル,t7,t7,src/events/story.js,182,院長は、白の書に伝承を写すと、その伝承が人の心から消えると知っていた。,35,5.3,
v_rowell_t7_04,rowell,ロウェル,t7,t7,src/events/story.js,183,知っていて、おれたちに写させていたんだ。,20,3.3,
v_rowell_t7_05,rowell,ロウェル,t7,t7,src/events/story.js,184,おれは、自分の母の顔を思い出せない。自分の日記を、白の書に写したからだ。,36,5.7,
v_rowell_t7_06,rowell,ロウェル,t7,t7,src/events/story.js,185,これを持っていけ。大書庫の封印の扉を開ける言葉が書いてある。,30,4.8,
v_rowell_t7_07,rowell,ロウェル,t7,t7,src/events/story.js,188,おれは、もう記録院には戻らない。,16,2.8,
v_rowell_roa_01,rowell,ロウェル,roa,story_final_roa,src/events/final_roa.js,90,島へは、ファロスの港から船を出させる。……おれも行く。,27,4.7,
v_rowell_roa_02,rowell,ロウェル,roa,story_final_roa,src/events/final_roa.js,116,おれは先に港へ行って、船を用意させておく。ファロスで会おう。,30,4.9,
v_rowell_biblia_01,rowell,ロウェル,biblia,biblia_arrival,src/events/final_biblia.js,48,……ひどいな。町じゅうが、白紙になりかけている。,24,4.3,
